match,id,name,rank,kills,wwcd
1,1,ABN,1,20,1
1,2,AUT,2,19,0
1,3,B4,3,18,0
1,4,BLACK,4,17,0
1,5,EPIC,5,16,0
1,6,FVG,6,15,0
1,7,GS,7,14,0
1,8,INCO,8,13,0
1,9,IZ,9,12,0
1,10,KP,10,11,0
1,11,NB,11,10,0
1,12,NOT,12,9,0
1,13,PNG,13,8,0
1,14,S4,14,7,0
1,15,SH,15,6,0
1,16,SR,16,5,0
1,17,TITAN,17,4,0
1,18,WSU,18,3,0
1,19,XTEAM,19,2,0
1,20,TEAM 20,20,1,0
2,1,ABN,8,13,0
2,2,AUT,9,12,0
2,3,B4,10,11,0
2,4,BLACK,11,10,0
2,5,EPIC,12,9,0
2,6,FVG,13,8,0
2,7,GS,14,7,0
2,8,INCO,15,6,0
2,9,IZ,16,5,0
2,10,KP,17,4,0
2,11,NB,18,3,0
2,12,NOT,19,2,0
2,13,PNG,20,1,0
2,14,S4,1,20,1
2,15,SH,2,19,0
2,16,SR,3,18,0
2,17,TITAN,4,17,0
2,18,WSU,5,16,0
2,19,XTEAM,6,15,0
2,20,TEAM 20,7,14,0
